Ángulo de incidencia,Intensidad 1, Intensidad 2, Intensidad 3
10,101,100,102
12,89,87,89
14,100,101,99
16,74,74,75
18,94,93,94
20,86,85,86
22,80,79,80
24,65,64,65
26,60,61,60
28,68,69,67
30,50,49,50
32,69,70,69
34,65,66,65
36,73,76,74
38,65,64,64
40,67,64,67
42,69,69,68
44,61,61,60
46,70,71,73
48,73,73,74
50,79,79,80
52,80,80,83
54,53,53,54
56,2.3,2.1,2
58,3.2,2.9,3
60,80,84,80
62,115,114,116
64,148,148,144
66,209,203,209
68,252,251,253
70,323,324,321
72,497,497,498
74,545,544,545
76,568,567,569
78,580,584,583
